time,value,index,predicted_value,stepwise_value
0.0,5.0,1,,
0.002,5.241342501696462,2,,
0.004,5.314432371702065,3,,
0.006,5.406529715472505,4,,
0.008,5.555403166514007,5,,
0.01,5.519555717684689,6,,
0.012,5.64009488465192,7,5.702749704842941,5.962182413889121
0.014,5.588542500953636,8,5.806522788461413,5.962182413889121
0.016,5.739109167315985,9,5.910295872079885,5.962182413889121
0.018,5.727875203260303,10,6.014068955698357,5.962182413889121
0.02,5.805506178963421,11,6.1178420393168285,5.962182413889121
0.022,5.862219435191599,12,6.2216151229353,5.962182413889121
0.024,5.889124648399857,13,5.972903353607856,6.141949167706819
0.026,6.032779607699451,14,6.040521679247442,6.141949167706819
0.028,6.082016557284306,15,6.108140004887027,6.141949167706819
0.03,5.965585828865227,16,6.175758330526613,6.141949167706819
0.032,5.944447443040329,17,6.243376656166198,6.141949167706819
0.034,6.157989309056424,18,6.310994981805784,6.141949167706819
0.036,6.150742112222913,19,6.127746449008368,6.077863582139012
0.038,6.170201097464314,20,6.1077933022606254,6.077863582139012
0.04,6.032232225113813,21,6.0878401555128825,6.077863582139012
0.042,6.007825730945249,22,6.0678870087651395,6.077863582139012
0.044,5.970270711966839,23,6.047933862017397,6.077863582139012
0.046,6.135909615120912,24,6.027980715269654,6.077863582139012
0.048,6.122197945924604,25,6.145977037421246,6.31869719141655
0.05,6.214446160243472,26,6.215065099019368,6.31869719141655
0.052,6.302986002699132,27,6.284153160617489,6.31869719141655
0.054,6.3521787811054775,28,6.353241222215611,6.31869719141655
0.056,6.489326852375811,29,6.422329283813733,6.31869719141655
0.058,6.431047406150785,30,6.491417345411855,6.31869719141655
0.06,6.528944079117222,31,6.560505407009976,6.7332255610052805
0.062,6.721803931393265,32,6.629593468608098,6.7332255610052805
0.064,6.701706423872162,33,6.69868153020622,6.7332255610052805
0.066,6.773831211624978,34,6.767769591804341,6.7332255610052805
0.068,6.832325808302943,35,6.836857653402463,6.7332255610052805
0.07,6.760144424301876,36,6.905945715000585,6.7332255610052805
0.072,6.702496150565965,37,6.638077851701516,6.676043592567974
0.074,6.634870279729318,38,6.653264148048099,6.676043592567974
0.076,6.606472969544592,39,6.668450444394682,6.676043592567974
0.078,6.719653495619738,40,6.683636740741266,6.676043592567974
0.08,6.564205930834222,41,6.698823037087848,6.676043592567974
0.082,6.828562729114076,42,6.714009333434432,6.676043592567974
0.084,7.105324855937389,43,7.132558067755833,7.208842001906505
0.086,7.1533578448139705,44,7.163071641416102,7.208842001906505
0.088,7.283336553235427,45,7.193585215076371,7.208842001906505
0.09,7.223687488053138,46,7.224098788736639,7.208842001906505
0.092,7.1612021947877365,47,7.254612362396908,7.208842001906505
0.094,7.326143074611473,48,7.2851259360571765,7.208842001906505
0.096,7.331494902617034,49,7.315639509717446,7.3919234438681185
0.098,7.36483431428283,50,7.346153083377715,7.3919234438681185
0.1,7.317478803000072,51,7.376666657037983,7.3919234438681185
0.102,7.407536433602499,52,7.407180230698252,7.3919234438681185
0.104,7.441187531939436,53,7.437693804358521,7.3919234438681185
0.106,7.382016782045627,54,7.468207378018789,7.3919234438681185
0.108,7.366956346004165,55,7.463936783738918,7.530271419185724
0.11,7.358729302903391,56,7.490470637917641,7.530271419185724
0.112,7.418442041558127,57,7.517004492096364,7.530271419185724
0.114,7.350792004172476,58,7.543538346275087,7.530271419185724
0.116,7.509417348654663,59,7.570072200453811,7.530271419185724
0.118,7.485160251280487,60,7.596606054632534,7.530271419185724
0.12,7.630225502306207,61,7.503719292802461,7.548746327845507
0.122,7.7485020577292465,62,7.521730106819679,7.548746327845507
0.124,7.809162812766391,63,7.5397409208368975,7.548746327845507
0.126,7.766681417184727,64,7.557751734854116,7.548746327845507
0.128,7.731589836164575,65,7.575762548871334,7.548746327845507
0.13,7.553944806835059,66,7.593773362888553,7.548746327845507
0.132,7.346674915708745,67,7.340260569156012,7.528393531923524
0.134,7.379009851612739,68,7.415513754263017,7.528393531923524
0.136,7.510924639925671,69,7.490766939370022,7.528393531923524
0.138,7.607899732062306,70,7.566020124477027,7.528393531923524
0.14,7.610984870584054,71,7.641273309584031,7.528393531923524
0.142,7.714867181647666,72,7.716526494691037,7.528393531923524
0.144,7.644155278335355,73,7.791779679798042,7.979912642565554
0.146,7.649457031507381,74,7.867032864905046,7.979912642565554
0.148,7.58113071376734,75,7.942286050012052,7.979912642565554
0.15,7.832610487203443,76,8.017539235119056,7.979912642565554
0.152,7.963236839374471,77,8.092792420226061,7.979912642565554
0.154,8.31460426355387,78,8.168045605333067,7.979912642565554
0.156,8.442787275712988,79,8.090264335328406,8.248200752593085
0.158,8.526867020917233,80,8.153438902234278,8.248200752593085
0.16,8.593932233807354,81,8.216613469140148,8.248200752593085
0.162,8.513003674683313,82,8.27978803604602,8.248200752593085
0.164,8.419277040627792,83,8.342962602951891,8.248200752593085
0.166,8.411437507113789,84,8.406137169857763,8.248200752593085
0.168,8.381383008391746,85,8.372967014367353,8.614213965405815
0.17,8.463116710505812,86,8.469465794782739,8.614213965405815
0.172,8.506975001987563,87,8.565964575198123,8.614213965405815
0.174,8.723375590894097,88,8.662463355613509,8.614213965405815
0.176,8.797422752085605,89,8.758962136028895,8.614213965405815
0.178,8.813010728570262,90,8.855460916444281,8.614213965405815
0.18,9.02903508861791,91,8.951959696859667,9.193206647898132
0.182,9.087888556273557,92,9.048458477275052,9.193206647898132
0.184,9.400000181378196,93,9.144957257690438,9.193206647898132
0.186,9.64296159850626,94,9.241456038105824,9.193206647898132
0.188,9.506231342309343,95,9.33795481852121,9.193206647898132
0.19,9.601685977687906,96,9.434453598936594,9.193206647898132
0.192,9.556282928149212,97,9.546305649041827,9.684042701291133
0.194,9.622676731260071,98,9.601400469941549,9.684042701291133
0.196,9.631977340727348,99,9.656495290841272,9.684042701291133
0.198,9.747866532238026,100,9.711590111740994,9.684042701291133
0.2,9.632694501177616,101,9.766684932640718,9.684042701291133
0.202,9.91275817419461,102,9.82177975354044,9.684042701291133
0.204,9.734921327294076,103,9.753974793611178,9.581913330200916
0.206,9.658990188104912,104,9.685150208247071,9.581913330200916
0.208,9.722884732255569,105,9.616325622882966,9.581913330200916
0.21,9.525219730146103,106,9.547501037518861,9.581913330200916
0.212,9.403469150935992,107,9.478676452154756,9.581913330200916
0.214,9.445994852468598,108,9.409851866790651,9.581913330200916
0.216,9.514798118310578,109,9.6141648587197,9.466461195830332
0.218,9.67261155994642,110,9.555083393563953,9.466461195830332
0.22,9.512370587283732,111,9.496001928408207,9.466461195830332
0.222,9.501980145966712,112,9.43692046325246,9.466461195830332
0.224,9.22533469255766,113,9.377838998096712,9.466461195830332
0.226,9.371672070917018,114,9.318757532940966,9.466461195830332
0.228,9.255036957238154,115,9.28708354016385,9.501075840899098
0.23,9.358964530892171,116,9.372680460457948,9.501075840899098
0.232,9.479516413719733,117,9.458277380752047,9.501075840899098
0.234,9.599551611493922,118,9.543874301046147,9.501075840899098
0.236,9.669496134434016,119,9.629471221340246,9.501075840899098
0.238,9.643889397616908,120,9.715068141634346,9.501075840899098
0.24,9.947645731249098,121,9.800665061928443,10.014657362663693
0.242,10.130514600174228,122,9.886261982222543,10.014657362663693
0.244,10.138167097052856,123,9.971858902516642,10.014657362663693
0.246,10.081332098049884,124,10.057455822810741,10.014657362663693
0.248,10.086110513124236,125,10.143052743104839,10.014657362663693
0.25,10.158076183428197,126,10.228649663398938,10.014657362663693
